t (yr),P1_x (AU),P1_y (AU),P2_x (AU),P2_y (AU),P3_x (AU),P3_y (AU),P4_x (AU),P4_y (AU),P5_x (AU),P5_y (AU)
0.79,-0.37599,1.68459,-2.32529,-0.22184,-1.08429,2.28628,-0.39999,1.30198,5.14728,0.12727
0.80,-0.38450,1.61555,-2.19176,-0.25883,-1.11881,2.27072,-0.41920,1.28841,5.06518,0.12776
0.81,-0.39260,1.54515,-2.05435,-0.29391,-1.15270,2.25357,-0.43699,1.27417,4.98408,0.12821
0.82,-0.40029,1.47346,-1.91325,-0.32700,-1.18596,2.23485,-0.45347,1.25930,4.90403,0.12862
0.83,-0.40756,1.40058,-1.76867,-0.35805,-1.21856,2.21460,-0.46876,1.24383,4.82511,0.12898
0.84,-0.41438,1.32662,-1.62083,-0.38699,-1.25050,2.19283,-0.48297,1.22779,4.74738,0.12930
0.85,-0.42074,1.25167,-1.47000,-0.41378,-1.28175,2.16957,-0.49621,1.21124,4.67090,0.12956
0.86,-0.42664,1.17586,-1.31644,-0.43837,-1.31230,2.14488,-0.50859,1.19420,4.59573,0.12979
0.87,-0.43206,1.09930,-1.16041,-0.46074,-1.34215,2.11880,-0.52021,1.17671,4.52194,0.12996
0.88,-0.43700,1.02211,-1.00218,-0.48086,-1.37127,2.09138,-0.53119,1.15879,4.44958,0.13009
0.89,-0.44144,0.94438,-0.84201,-0.49872,-1.39967,2.06269,-0.54163,1.14049,4.37871,0.13017
0.90,-0.44538,0.86622,-0.68019,-0.51429,-1.42733,2.03277,-0.55164,1.12185,4.30939,0.13021
0.91,-0.44881,0.78772,-0.51699,-0.52758,-1.45425,2.00170,-0.56132,1.10291,4.24167,0.13020
0.92,-0.45173,0.70899,-0.35269,-0.53856,-1.48041,1.96954,-0.57077,1.08371,4.17561,0.13014
0.93,-0.45414,0.63013,-0.18758,-0.54722,-1.50580,1.93635,-0.58009,1.06429,4.11126,0.13005
0.94,-0.45604,0.55122,-0.02196,-0.55355,-1.53040,1.90218,-0.58936,1.04469,4.04868,0.12991
0.95,-0.45743,0.47238,0.14371,-0.55755,-1.55420,1.86709,-0.59869,1.02494,3.98792,0.12973
0.96,-0.45831,0.39369,0.30948,-0.55921,-1.57718,1.83115,-0.60814,1.00508,3.92905,0.12952
0.97,-0.45869,0.31525,0.47522,-0.55856,-1.59934,1.79442,-0.61780,0.98514,3.87212,0.12926
0.98,-0.45855,0.23714,0.64079,-0.55561,-1.62066,1.75697,-0.62773,0.96517,3.81717,0.12897
0.99,-0.45791,0.15945,0.80607,-0.55038,-1.64112,1.71887,-0.63799,0.94520,3.76426,0.12863
1.00,-0.45677,0.08226,0.97092,-0.54288,-1.66072,1.68019,-0.64867,0.92529,3.71343,0.12826
1.01,-0.45512,0.00566,1.13524,-0.53316,-1.67945,1.64100,-0.65982,0.90547,3.66474,0.12785
1.02,-0.45298,-0.07026,1.29891,-0.52125,-1.69728,1.60137,-0.67150,0.88577,3.61823,0.12740
